Plant Code,Utility Name,Plant Name,State,Latitude,Longitude,BA Code,BA Name,Fuel Type,Prime Mover,Net Generation (MWh)
1564,NRG Vienna Operations Inc,Vienna Operations,MD,38.4878,-75.8208,PJM,"PJM Interconnection, LLC",RFO,ST,4908.48
1567,BP Piney & Deep Creek LLC,Deep Creek,MD,39.523,-79.413,PJM,"PJM Interconnection, LLC",WAT,HY,39414.0
1571,"Lanyard Power Holdings, LLC",Chalk Point Power,MD,38.5444,-76.6861,PJM,"PJM Interconnection, LLC",BIT,GT,0.0
1571,"Lanyard Power Holdings, LLC",Chalk Point Power,MD,38.5444,-76.6861,PJM,"PJM Interconnection, LLC",DFO,GT,2401.2439999999997
1571,"Lanyard Power Holdings, LLC",Chalk Point Power,MD,38.5444,-76.6861,PJM,"PJM Interconnection, LLC",DFO,ST,0.0
1571,"Lanyard Power Holdings, LLC",Chalk Point Power,MD,38.5444,-76.6861,PJM,"PJM Interconnection, LLC",NG,GT,40644.756
1571,"Lanyard Power Holdings, LLC",Chalk Point Power,MD,38.5444,-76.6861,PJM,"PJM Interconnection, LLC",NG,ST,1338302.0
1571,"Lanyard Power Holdings, LLC",Chalk Point Power,MD,38.5444,-76.6861,PJM,"PJM Interconnection, LLC",RFO,ST,0.0
1572,"Lanyard Power Holdings, LLC",Dickerson Power,MD,39.2097,-77.4644,PJM,"PJM Interconnection, LLC",BIT,GT,0.0
1572,"Lanyard Power Holdings, LLC",Dickerson Power,MD,39.2097,-77.4644,PJM,"PJM Interconnection, LLC",DFO,GT,829.074
1572,"Lanyard Power Holdings, LLC",Dickerson Power,MD,39.2097,-77.4644,PJM,"PJM Interconnection, LLC",NG,GT,574698.923
1573,"Lanyard Power Holdings, LLC",Morgantown Generating Plant,MD,38.3592,-76.9767,PJM,"PJM Interconnection, LLC",BIT,GT,0.0
1573,"Lanyard Power Holdings, LLC",Morgantown Generating Plant,MD,38.3592,-76.9767,PJM,"PJM Interconnection, LLC",DFO,GT,-2114.0
1574,"Constellation Power, Inc",Conowingo,MD,39.6572,-76.1752,PJM,"PJM Interconnection, LLC",WAT,HY,3658762.0
1580,Easton Utilities Comm,Easton,MD,38.7786,-76.0769,PJM,"PJM Interconnection, LLC",DFO,IC,-1926.0
1580,Easton Utilities Comm,Easton,MD,38.7786,-76.0769,PJM,"PJM Interconnection, LLC",NG,IC,0.0
1693,Consumers Energy Co - (MI),Alcona,MI,44.561961,-83.804505,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,51754.0
1694,Consumers Energy Co - (MI),Allegan Dam,MI,42.563803,-85.953976,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,23896.0
1695,Consumers Energy Co - (MI),B C Cobb,MI,43.258768,-86.242268,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1696,Consumers Energy Co - (MI),B E Morrow,MI,42.280222,-85.492548,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1698,Consumers Energy Co - (MI),C W Tippy,MI,44.259135,-85.939565,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,115452.0
1700,Consumers Energy Co - (MI),Cooke,MI,44.472624,-83.571947,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,51486.0
1701,Consumers Energy Co - (MI),Croton,MI,43.437322,-85.664462,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,40760.0
1702,Consumers Energy Co - (MI),Dan E Karn,MI,43.644996,-83.840074,MISO,"Midcontinent Independent Transmission System Operator, Inc..",BIT,ST,0.0
1702,Consumers Energy Co - (MI),Dan E Karn,MI,43.644996,-83.840074,MISO,"Midcontinent Independent Transmission System Operator, Inc..",DFO,ST,3388.7780000000002
1702,Consumers Energy Co - (MI),Dan E Karn,MI,43.644996,-83.840074,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,ST,52623.678
1702,Consumers Energy Co - (MI),Dan E Karn,MI,43.644996,-83.840074,MISO,"Midcontinent Independent Transmission System Operator, Inc..",RFO,ST,5379.928
1702,Consumers Energy Co - (MI),Dan E Karn,MI,43.644996,-83.840074,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SUB,ST,1164961.618
1704,Consumers Energy Co - (MI),Five Channels,MI,44.455518,-83.676274,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,44662.0
1705,Consumers Energy Co - (MI),Foote,MI,44.435381,-83.440722,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,58102.0
1706,Consumers Energy Co - (MI),Gaylord - Consumers,MI,45.0306,-84.7039,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
